SPECIES MASS    REACT  C2H6   NC4H10   C2H4   C3H6   APINEN   C5H8   OXYL   HCHO   CH3CHO   CH3COE   NO   NO2   HONO   CO   SO2   NH3
1DECEN   140   5.25   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1E2POL   104   3.948   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1E2PAC   146   3.262   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1E3MCH   126   2.052   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1E4MCH   126   2.052   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1HPTEN   98   5.7   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1HXENE   84   5.55   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1M2EOL   76   1.83   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1M2POL   90   2.385   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1M2PAC   132   2.232   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1M3PBZ   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
1M4PBZ   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
1M4IPC   140   2.263   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1PTENE   70   4.706   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1PRPAL   58   2.94   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
1PRPOL   60   0.83   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2233TH   140   0.536   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
TMPMIB   216   2.561   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
22DMBA   86   0.351   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
22DMPA   72   0.127   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
23DMBA   86   0.867   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
23DMHP   128   1.495   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
24DMPT   100   1.028   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
25DMOC   142   1.707   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
26DMOC   142   1.707   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2BEEOL   162   6.824   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2BEEAC   204   6.49   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2EEEOL   134   6.169   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2EEEAC   176   5.835   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2MEEOL   120   5.138   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2EEEEO   178   9.064   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2BUTOL   74   1.428   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2BUTON   72   0.173   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
2BUTEN   56   9.025   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2BOEOL   118   3.465   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2BOEAC   160   3.595   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2EOEOL   90   2.7   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2EOEAC   132   2.94   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2ETOLU   120   1.845   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
2IPEOL   104   4.566   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2MOEOL   76   1.83   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2MOEAC   118   1.91   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2MBZAL   120   1.935   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
2M1BEN   70   9.105   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2M1POL   74   1.35   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2M2BEN   70   13.04   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2M5EOC   168   1.98   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MBANE   72   0.555   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MDCAN   156   1.877   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MHPAN   114   1.241   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MHXAN   100   1.029   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MNNAN   142   1.665   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MOCAN   128   1.453   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MPTAN   86   0.795   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MPRAL   72   3.938   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
2MPANE   58   0.349   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MPENE   56   7.708   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2PTENE   70   9.925   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
2PRPOL   60   0.761   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2PRACE   102   0.525   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
33DMOC   142   1.081   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
34DMHP   128   1.537   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
37DMNN   156   1.961   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3E2MHP   142   1.768   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3EHPAN   128   1.558   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3ETOLU   120   2.88   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
3MBZAL   120   1.935   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
3M1BEN   70   4.773   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
3MDCAN   144   1.92   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3MHPAN   114   1.284   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3MHXAN   100   1.073   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3MNNAN   130   1.708   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3MOCAN   116   1.496   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3MPTAN   86   0.81   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
4ETOLU   120   1.815   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
4M2PON   100   2.115   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
4M4HPO   116   0.432   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
4MDCAN   144   1.92   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
4MHPAN   114   1.284   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
4MNNAN   130   1.708   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
4MOCAN   116   1.496   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
5MDCAN   144   1.92   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKA10   142   1.684   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKE10   140   5.25   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
AROM10   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
CALK10   140   2.12   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKA11   156   1.935   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKA12   170   2.085   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKA13   184   2.302   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AROM13   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
ALKE06   84   5.55   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
ALKA07   100   1.053   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKE07   98   5.7   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
CALK07   98   1.484   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKA08   114   1.307   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKE08   112   4.951   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
CALK08   112   1.696   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKA09   128   1.498   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AROM09   120   4.905   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
ACETAL   44   2.364   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
ACETIC   60   0.12   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ACETON   58   0.033   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
ACETYL   26   0.122   0.5   0.5   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ACROLN   56   1.314   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
ACRYLA   72   0.986   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ACRYLN   53   0.606   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BENZAL   106   1.935   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
BENZEN   78   0.21   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
BZACOL   108   3.435   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BUTANE   58   0.366   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BUTENE   56   7.586   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
BUTACE   116   0.557   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BCHXAN   140   2.223   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CARBSU   60   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CLEANE   64   0.065   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CLEENE   62   0.996   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
CLMANE   50   0.006   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
C2BENE   56   8.457   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
C2PTEN   70   9.81   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
CROTAL   56   4.215   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
CYHXAN   84   1.082   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CYHXON   98   0.81   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
DECALI   138   3.053   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
DECANE   142   1.684   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DCMANE   84   0.022   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DIIPET   102   1.529   0   0.5   0   0.5   0   0   0   0   0   0   0   0   0   0   0   0
DIMETH   36   0.448   0   0.5   0   0.5   0   0   0   0   0   0   0   0   0   0   0   0
DMCPTA   98   0.562   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
OTHERS   58   0.366   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DIPTEN   136   25.35   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
DIPETH   102   2.995   0   0.5   0   0.5   0   0   0   0   0   0   0   0   0   0   0   0
DODCAN   170   2.085   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ETHANE   30   0.038   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ETHNOL   46   0.491   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ETACET   88   0.252   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
EACRYL   100   1.236   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
EBUTAT   116   0.574   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
EPROAT   102   0.35   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ETAMIN   45   4.157   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ETBZEN   106   1.065   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
ECHXAN   112   1.799   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ETDMBZ   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
ETHYLE   28   1.264   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
ETGLOL   62   1.155   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
FORMAL   30   1.405   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
GLYXAL   58   1.71   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
HPTANE   100   1.053   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HMCTSX   222   0.038   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HEXANE   86   0.818   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
INDANE   118   1.395   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
IPROBZ   120   0.975   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
LIMONE   136   25.35   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0
MXYLEN   106   3.54   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
METNOL   32   0.142   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MEACET   74   0.052   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MEFORM   60   0.03   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MCHXAN   98   1.525   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MCPTAN   84   0.544   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ETOLUE   120   2.18   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
MEPENE   56   7.708   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
MEPRBZ   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
NAPHTA   128   3.45   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
NONANE   128   1.498   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
OXYLEN   106   2.055   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
OMCTSX   296   0.038   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
OCTANE   114   1.307   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
PXYLEN   106   2.145   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
PENTAN   72   0.6   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
PHENOL   94   4.515   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
PROPAN   44   0.168   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
PRACET   102   0.515   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
PBUTAT   130   0.771   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
PPROAT   116   0.602   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
PROPBZ   120   0.9   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
PCHXAN   126   2.011   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
PROPYL   42   3.976   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
PROPYN   40   0.292   0.5   0.5   0   0   0   0   0   0   0   0   0   0   0   0   0   0
STYREN   104   8.7   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
TERPEN   136   9.908   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0
TECEEN   164   0.025   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
TEDCAN   198   2.514   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
THFRAN   104   2.535   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
TOLUEN   92   0.894   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
T2BENE   56   9.593   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
T2PTEN   70   10.04   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
TCEENE   130   0.354   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
TCMANE   118   0.016   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
TFMANE   70   0.001   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
UNDCAN   156   1.935   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKAUN   72   0.6   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALKEUN   70   4.706   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
AROMUN   106   2.58   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
 
