SPECIES	MASS	REACT	HC8	API	LIM	PAR	OLE	TOL	XYL	FORM	ALD2	ETH	ISOP	MEOH	ETOH	CH4	ETHA	IOLE	ALDX	TERP
2EOEOL	90	1.	0.94	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2EOEAC	132	1.	0.94	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ETOLU	120	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2IPEOL	104	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MOEOL	76	1.	0.94	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MOEAC	118	1.	0.94	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MBZAL	120	1.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2M1BEN	70	1.	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2M1POL	74	1.	0.94	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2M2BEN	70	1.	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2M5EOC	168	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MBANE	72	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MDCAN	156	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MHPAN	114	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MHXAN	100	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MNNAN	142	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MOCAN	128	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MPTAN	86	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MPRAL	72	1.	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2MPANE	58	1.	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MPENE	56	1.	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2PTENE	70	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2PRPOL	60	1.	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2PRACE	102	1.	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33DMOC	142	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34DMHP	128	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37DMNN	156	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3E2MHP	142	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3EHPAN	128	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ETOLU	120	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3MBZAL	120	1.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3M1BEN	70	1.	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3MDCAN	144	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3MHPAN	114	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3MHXAN	100	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3MNNAN	130	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3MOCAN	116	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3MPTAN	86	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ETOLU	120	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4M2PON	100	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4M4HPO	116	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4MDCAN	144	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4MHPAN	114	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4MNNAN	130	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4MOCAN	116	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5MDCAN	144	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKA10	142	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKE10	140	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AROM10	134	1.	0	0	0	2.0454	0	0.061	0.939	0	0	0	0	0	0	0	0	0	0	0
CALK10	140	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKA11	156	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKA12	170	1.	0.94	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKA13	184	1.	0.94	0	0	12.8333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AROM13	134	1.	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALKE06	84	1.	0	0	0	3.25	0.5	0	0	0	0.125	0	0	0	0	0	0	0.375	0	0
ALKA07	100	1.	0.47	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKE07	98	1.	0	0	0	4.2	0.6	0	0	0	0	0	0	0	0	0	0	0.4	0	0
CALK07	98	1.	0.7833	0	0	6.8333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKA08	114	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKE08	112	1.	0	0	0	4.8333	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0
CALK08	112	1.	0.94	0	0	7.8571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKA09	128	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AROM09	120	1.	0	0	0	1.0879	0	0.0879	0.9121	0	0	0	0	0	0	0	0	0	0	0
ACETAL	44	1.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACETIC	60	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACETON	58	1.	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACETYL	26	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACROLN	56	1.	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1	0
ACRYLA	72	1.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRYLN	53	1.	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BENZAL	106	1.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BENZEN	78	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BZACOL	108	1.	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BUTANE	58	1.	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUTENE	56	1.	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BUTACE	116	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCHXAN	140	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBSU	60	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEANE	64	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEENE	62	1.	0.94	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLMANE	50	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2BENE	56	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C2PTEN	70	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CROTAL	56	1.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CYHXAN	84	1.	0.94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYHXON	98	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DECALI	138	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DECANE	142	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCMANE	84	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIIPET	102	1.	0.94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIMETH	36	1.	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMCPTA	98	1.	0.47	0	0	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTHERS	58	1.	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIPTEN	136	1.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DIPETH	102	1.	0.94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DODCAN	170	1.	0.94	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETHANE	30	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ETHNOL	46	1.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ETACET	88	1.	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EACRYL	100	1.	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EBUTAT	116	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPROAT	102	1.	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETAMIN	45	1.	0.94	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ETBZEN	106	1.	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ECHXAN	112	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETDMBZ	134	1.	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ETHYLE	28	1.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ETGLOL	62	1.	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORMAL	30	1.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLYXAL	58	1.	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HPTANE	100	1.	0.47	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMCTSX	222	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEXANE	86	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDANE	118	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPROBZ	120	1.	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LIMONE	136	1.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MXYLEN	106	1.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
METNOL	32	1.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MEACET	74	1.	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEFORM	60	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCHXAN	98	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCPTAN	84	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETOLUE	120	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MEPENE	56	1.	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MEPRBZ	134	1.	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NAPHTA	128	1.	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NONANE	128	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXYLEN	106	1.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OMCTSX	296	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OCTANE	114	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXYLEN	106	1.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PENTAN	72	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHENOL	94	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROPAN	44	1.	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRACET	102	1.	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBUTAT	130	1.	0.94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPROAT	116	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROPBZ	120	1.	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PCHXAN	126	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROPYL	42	1.	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PROPYN	40	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
STYREN	104	1.	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0
TERPEN	136	1.	0	0.9	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TECEEN	164	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEDCAN	198	1.	0.94	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THFRAN	104	1.	0.94	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TOLUEN	92	1.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
T2BENE	56	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
T2PTEN	70	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TCEENE	130	1.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCMANE	118	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFMANE	70	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNDCAN	156	1.	0.94	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKAUN	72	1.	0.424	0.0356	0.0036	5.2787	0.1101	0.0978	0.0741	0.0007	0	0	0	0	0	0	0	0.0032	0.0808	0.0392
ALKEUN	70	1.	0.424	0.0356	0.0036	5.2787	0.1101	0.0978	0.0741	0.0007	0	0	0	0	0	0	0	0.0032	0.0808	0.0392
AROMUN	106	1.	0	0	0	4.813	0	0.3337	0.6663	0	0	0	0	0	0	0	0	0	0	0
